treatment,id,game,period,choice,other.choice
D5R32,1,62,1,d,d
D5R32,1,63,1,d,d
D5R32,1,63,2,c,d
D5R32,1,63,3,d,c
D5R32,1,64,1,d,d
D5R32,1,64,2,c,d
D5R32,1,64,3,d,d
D5R32,1,64,4,d,d
D5R32,1,64,5,d,d
D5R32,1,64,6,d,d
D5R32,1,64,7,d,d
D5R32,1,64,8,d,d
D5R32,1,64,9,d,d
D5R32,1,65,1,d,d
D5R32,1,66,1,d,d
D5R32,1,66,2,c,d
D5R32,1,66,3,d,d
D5R32,1,66,4,d,d
D5R32,1,66,5,d,d
D5R32,1,67,1,d,d
D5R32,1,68,1,d,d
D5R32,1,69,1,d,d
D5R32,1,69,2,c,d
D5R32,1,69,3,d,d
D5R32,1,69,4,d,c
D5R32,2,62,1,d,d
D5R32,2,63,1,d,d
D5R32,2,63,2,d,d
D5R32,2,63,3,d,d
D5R32,2,64,1,d,d
D5R32,2,64,2,d,c
D5R32,2,64,3,d,d
D5R32,2,64,4,d,d
D5R32,2,64,5,d,d
D5R32,2,64,6,d,d
D5R32,2,64,7,d,d
D5R32,2,64,8,d,d
D5R32,2,64,9,d,d
D5R32,2,65,1,d,c
D5R32,2,66,1,d,d
D5R32,2,66,2,d,d
D5R32,2,66,3,d,d
D5R32,2,66,4,d,d
D5R32,2,66,5,d,d
D5R32,2,67,1,d,d
D5R32,2,68,1,d,d
D5R32,2,69,1,d,d
D5R32,2,69,2,d,d
D5R32,2,69,3,d,d
D5R32,2,69,4,d,d
D5R32,3,62,1,d,d
D5R32,3,63,1,d,d
D5R32,3,63,2,d,d
D5R32,3,63,3,d,d
D5R32,3,64,1,d,d
D5R32,3,64,2,d,d
D5R32,3,64,3,d,d
D5R32,3,64,4,d,d
D5R32,3,64,5,d,d
D5R32,3,64,6,d,d
D5R32,3,64,7,d,d
D5R32,3,64,8,d,d
D5R32,3,64,9,d,d
D5R32,3,65,1,d,d
D5R32,3,66,1,d,d
D5R32,3,66,2,d,d
D5R32,3,66,3,d,d
D5R32,3,66,4,d,d
D5R32,3,66,5,d,d
D5R32,3,67,1,d,d
D5R32,3,68,1,d,d
D5R32,3,69,1,d,d
D5R32,3,69,2,d,d
D5R32,3,69,3,d,d
D5R32,3,69,4,d,d
D5R32,4,62,1,d,c
D5R32,4,63,1,d,d
D5R32,4,63,2,d,d
D5R32,4,63,3,d,d
D5R32,4,64,1,d,d
D5R32,4,64,2,d,d
D5R32,4,64,3,d,d
D5R32,4,64,4,d,d
D5R32,4,64,5,d,d
D5R32,4,64,6,d,d
D5R32,4,64,7,d,d
D5R32,4,64,8,d,d
D5R32,4,64,9,d,d
D5R32,4,65,1,d,d
D5R32,4,66,1,d,d
D5R32,4,66,2,d,c
D5R32,4,66,3,c,d
D5R32,4,66,4,d,c
D5R32,4,66,5,c,c
D5R32,4,67,1,d,d
D5R32,4,68,1,d,d
D5R32,4,69,1,d,d
D5R32,4,69,2,d,c
D5R32,4,69,3,d,d
D5R32,4,69,4,c,d
D5R32,5,62,1,d,d
D5R32,5,63,1,d,c
D5R32,5,63,2,d,d
D5R32,5,63,3,d,d
D5R32,5,64,1,d,d
D5R32,5,64,2,d,d
D5R32,5,64,3,d,d
D5R32,5,64,4,d,d
D5R32,5,64,5,d,d
D5R32,5,64,6,d,d
D5R32,5,64,7,d,d
D5R32,5,64,8,d,d
D5R32,5,64,9,d,d
D5R32,5,65,1,d,d
D5R32,5,66,1,d,d
D5R32,5,66,2,d,c
D5R32,5,66,3,d,d
D5R32,5,66,4,d,d
D5R32,5,66,5,d,d
D5R32,5,67,1,d,c
D5R32,5,68,1,d,d
D5R32,5,69,1,d,d
D5R32,5,69,2,d,d
D5R32,5,69,3,d,d
D5R32,5,69,4,d,d
D5R32,6,62,1,d,d
D5R32,6,63,1,d,d
D5R32,6,63,2,c,d
D5R32,6,63,3,d,c
D5R32,6,64,1,d,d
D5R32,6,64,2,d,d
D5R32,6,64,3,c,d
D5R32,6,64,4,d,c
D5R32,6,64,5,c,d
D5R32,6,64,6,c,c
D5R32,6,64,7,c,c
D5R32,6,64,8,c,c
D5R32,6,64,9,c,c
D5R32,6,65,1,d,d
D5R32,6,66,1,d,d
D5R32,6,66,2,c,d
D5R32,6,66,3,d,c
D5R32,6,66,4,c,d
D5R32,6,66,5,c,c
D5R32,6,67,1,d,d
D5R32,6,68,1,d,d
D5R32,6,69,1,d,d
D5R32,6,69,2,c,d
D5R32,6,69,3,d,c
D5R32,6,69,4,c,d
D5R32,7,62,1,d,d
D5R32,7,63,1,d,d
D5R32,7,63,2,d,d
D5R32,7,63,3,d,d
D5R32,7,64,1,d,c
D5R32,7,64,2,d,d
D5R32,7,64,3,d,d
D5R32,7,64,4,d,d
D5R32,7,64,5,d,d
D5R32,7,64,6,d,d
D5R32,7,64,7,d,d
D5R32,7,64,8,d,d
D5R32,7,64,9,d,d
D5R32,7,65,1,d,d
D5R32,7,66,1,d,d
D5R32,7,66,2,d,d
D5R32,7,66,3,d,d
D5R32,7,66,4,d,d
D5R32,7,66,5,d,d
D5R32,7,67,1,d,d
D5R32,7,68,1,d,d
D5R32,7,69,1,d,d
D5R32,7,69,2,d,d
D5R32,7,69,3,d,d
